         F00        F01        F02        F03        F04        F05        F06        F07        F08        F09        F10        F11        F12        F13        F14        F15        F16        RightEar        
Fp1       63.52492     22.48306     19.49739     -1.639578     12.1003     8.744636     -0.06759836     -3.324862     3.040213     1.78169     -1.885279     3.278865     1.171157     2.461084     -2.461756     -0.1709957     1.575597     0     
Fz       26.22018     7.45836     -0.1476718     2.763624     5.310848     3.139343     -1.66173     -1.735837     2.315046     2.10932     -0.5161901     0.2211181     0.1056812     1.614944     0.8813365     -0.1605392     -0.09300864     0     
F3       27.66604     12.98782     -0.123593     2.542313     2.736888     3.705802     -0.9403857     -1.876233     2.034419     1.995568     -0.7908911     2.615539     0.6108259     1.513131     -3.87618     -0.2064751     0.2708031     0     
FCz       16.82994     4.601931     0.1609235     4.944554     1.936103     1.967647     -1.385006     -1.144495     1.999417     2.082496     -0.2573048     0.4334861     -0.6771089     1.211825     0.9742705     -0.1239858     -2.79454     0     
FC3       17.04182     8.957162     -0.236928     4.134357     0.5765372     2.154037     -0.7777075     -1.475796     1.182553     1.730002     -0.3391411     2.639912     1.337063     0.9635704     1.244797     -0.1896361     0.2993222     0     
Cz       11.32978     2.774042     0.6235255     6.705213     1.704857     1.259794     -0.9073722     -0.5763466     2.438264     1.365457     -0.118484     0.3432626     -0.6974494     0.4852171     0.3256895     -0.05945867     0.2485996     0     
C3       11.49354     6.054067     0.0887875     5.284437     -0.8017882     1.300472     -0.7515813     -1.007757     -0.3297327     1.991943     -0.1114671     -0.7457416     0.6313622     0.5003516     0.7460151     -0.05555513     0.5263408     0     
CPz       8.330219     1.917645     0.4862712     6.754496     1.139317     1.234874     -0.8755003     -0.2939022     -0.5625826     0.8135489     -0.05946879     0.2757839     -0.1626616     3.354629     0.4878531     -0.001360299     -0.09056805     0     
RightEar       0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     
CP3       7.966152     3.682819     0.3827597     6.167879     1.183484     1.705217     -0.5751821     0.1127715     -1.891095     1.270298     -0.05492091     0.6061364     -0.5253713     0.1289731     0.5870889     -0.01438085     0.2200381     0     
Pz       6.317623     0.8289936     0.2506471     6.4423     0.9603924     4.816574     -0.7401851     -0.1340436     -1.235178     -0.2318821     0.06168916     0.005359731     2.697842     0.7062738     -0.700231     0.15648     -0.099288     0     
P3       5.927823     2.303548     0.2871354     6.412877     1.077023     2.28889     -0.4873709     0.2513223     -2.315775     0.4077881     -5.748407     0.4539979     1.250998     0.002533756     -0.8059472     0.1911141     0.412908     0     
Fp2       74.74225     16.87115     9.299744     -2.926841     11.00524     7.421884     11.83258     -4.144446     3.441798     1.31132     -1.786235     2.965037     -0.555117     2.842438     -1.310672     0.002390957     1.766915     0     
F4       28.58963     2.317583     0.679037     1.478295     2.75506     2.610264     -1.629498     -1.588434     2.003478     1.595904     -0.4749132     1.171908     -1.030224     1.14847     0.5061086     -0.1086477     0.01543322     0     
FC4       17.54483     0.1511093     0.7852796     3.54626     2.398355     1.109713     -1.298142     -1.37056     1.26787     4.423248     -0.2763946     1.62778     1.817096     1.029637     -0.04514975     -0.02753476     -0.1233819     0     
C4       11.74208     -0.1638331     0.7780886     4.807653     1.750123     0.8628015     -0.8159225     -2.433392     0.37107     1.673185     -0.1101462     0.8369557     1.430088     0.6326051     -0.5958665     -5.310227     -0.2731802     0     
CP4       8.345989     -0.2999725     0.6200726     5.543665     2.081896     0.5835691     -0.8571475     -3.398824     -0.6636119     0.6385224     0.002186399     0.6757674     0.89138     0.6711424     -0.5729387     0.1067535     -0.08502374     0     
P4       6.468976     -0.289261     0.680635     5.949223     1.928749     -0.4732749     -0.4268275     -0.805014     -1.390178     -1.183979     0.06505304     0.2979144     3.846891     -0.02330577     -1.489381     0.1910751     -0.3189377     0     
